page_url,api_url,brand_id,brand_name,corp_name,category_large,category_middle,year,startup_cost_만원,franchise_fee_만원,education_fee_만원,deposit_만원,other_cost_만원,avg_sales_만원,avg_sales_per_area_만원,store_count,new_store_count,contract_end_count,contract_cancel_count,name_change_count,closure_rate_percent,interior_area_평,interior_cost_min_만원,interior_cost_max_만원,interior_cost_mid_만원,business_start_date,business_years,store_count_percentile,avg_sales_percentile,total_cost_percentile,industry_avg_sales_만원,industry_avg_total_cost_만원
https://jshj.net/brands/BBQ-BRD_20161241,https://api.jshj.net/api/brands/BRD_20161241,BRD_20161241,BBQ,(주)제너시스비비큐,외식,치킨,2024,90789,11000,4180,5000,70609,496840,32605,2238,182,71,0,178,3.17,20,48000,53000,50500,19950901,29년 6개월,1,6,88,114849,59899
https://jshj.net/brands/%EB%B9%84%EC%97%90%EC%9D%B4%EC%B9%98%EC%94%A8(BHC)-BRD_20080100655,https://api.jshj.net/api/brands/BRD_20080100655,BRD_20080100655,비에이치씨(BHC),다이닝브랜즈그룹(주),외식,치킨,2024,90027,11000,2420,10000,66607,546729,27276,2291,461,158,3,284,7.03,20,43000,49000,46000,20040910,20년 6개월,1,4,88,114849,59899
https://jshj.net/brands/%EA%B5%90%EC%B4%8C%EC%B9%98%ED%82%A8-BRD_20080600002,https://api.jshj.net/api/brands/BRD_20080600002,BRD_20080600002,교촌치킨,교촌에프앤비(주),외식,치킨,2023,130902,6765,3550,1500,119087,749040,34910,1365,31,0,3,140,0.22,20,65000,72000,68500,19940601,29년 11개월,1,1,97,114849,59899
https://jshj.net/brands/%EC%B2%98%EA%B0%93%EC%A7%91%EC%96%91%EB%85%90%EC%B9%98%ED%82%A8-BRD_20080200106,https://api.jshj.net/api/brands/BRD_20080200106,BRD_20080200106,처갓집양념치킨,(주)한국일오삼,외식,치킨,2023,26850,3300,1100,1000,21450,285309,19979,1221,131,6,145,93,12.37,10,12000,14000,13000,19830307,41년 2개월,1,18,8,114849,59899
https://jshj.net/brands/%EA%B5%BD%EB%84%A4%EC%B9%98%ED%82%A8-BRD_20080200030,https://api.jshj.net/api/brands/BRD_20080200030,BRD_20080200030,굽네치킨,(주)지앤푸드,외식,치킨,2023,92455,5500,2200,0,84755,455454,25560,1124,52,21,2,144,2.05,10,28000,32000,30000,20050309,19년 2개월,1,6,88,114849,59899
https://jshj.net/brands/%ED%8E%98%EB%A6%AC%EC%B9%B4%EB%82%98-BRD_20080500035,https://api.jshj.net/api/brands/BRD_20080500035,BRD_20080500035,페리카나,(주)페리카나,외식,치킨,2023,35450,0,0,0,35450,134296,11382,1056,22,0,51,65,4.83,15,25000,28000,26500,19550930,43년 2개월,1,65,23,114849,59899
https://jshj.net/brands/%EB%84%A4%EB%84%A4%EC%B9%98%ED%82%A8-BRD_20080100061,https://api.jshj.net/api/brands/BRD_20080100061,BRD_20080100061,네네치킨,(주)혜인식품,외식,치킨,2023,61110,0,3300,3000,54810,219128,15049,1011,20,0,69,118,6.82,12,18000,21000,19500,20100401,14년 1개월,2,52,66,114849,59899
https://jshj.net/brands/%EA%B0%80%EB%A7%88%EC%B9%98%ED%86%B5%EB%8B%AD-BRD_20160798,https://api.jshj.net/api/brands/BRD_20160798,BRD_20160798,가마치통닭,(주)티지와이,외식,치킨,2023,50000,3300,1100,3000,42600,232945,16171,620,75,0,43,81,6.94,20,50000,56000,53000,20160601,7년 11개월,2,,58,114849,59899
https://jshj.net/brands/%EB%85%B8%EB%9E%91%ED%86%B5%EB%8B%AD-BRD_20130176,https://api.jshj.net/api/brands/BRD_20130176,BRD_20130176,노랑통닭,(주)노랑푸드,외식,치킨,2023,61900,4400,2200,3000,52300,0,0,632,105,1,34,62,5.54,15,28000,32000,30000,20090601,14년 11개월,2,11,65,114849,59899
https://jshj.net/brands/%EC%A7%80%EC%BD%94%EB%B0%94%EC%96%91%EB%85%90%EC%B9%98%ED%82%A8-BRD_20080300013,https://api.jshj.net/api/brands/BRD_20080300013,BRD_20080300013,지코바양념치킨,(주)지코바,외식,치킨,2023,57000,8000,1000,2000,46000,258263,20543,733,26,15,0,98,2.05,10,19000,21000,20000,19840717,34년 4개월,2,30,61,114849,59899
https://jshj.net/brands/%EB%A9%95%EC%8B%9C%EC%B9%B4%EB%82%98-BRD_20080100262,https://api.jshj.net/api/brands/BRD_20080100262,BRD_20080100262,멕시카나,(주)멕시카나,외식,치킨,2024,31850,4400,1650,3000,22800,198228,13701,867,88,0,94,73,10.84,,,,,19891101,35년 4개월,3,35,15,114849,59899
