brand_name,corp_name,year,startup_cost_만원,avg_sales_만원,store_count,closure_rate_percent,new_store_count,contract_end_count,contract_cancel_count,business_years,page_url
BBQ,(주)제너시스비비큐,2024,90789,496840,2238,3.17,182,71,0,29년 6개월,https://jshj.net/brands/BBQ-BRD_20161241
비에이치씨(BHC),다이닝브랜즈그룹(주),2024,90027,546729,2291,7.03,461,158,3,20년 6개월,https://jshj.net/brands/%EB%B9%84%EC%97%90%EC%9D%B4%EC%B9%98%EC%94%A8(BHC)-BRD_20080100655
교촌치킨,교촌에프앤비(주),2023,130902,749040,1365,0.22,31,0,3,29년 11개월,https://jshj.net/brands/%EA%B5%90%EC%B4%8C%EC%B9%98%ED%82%A8-BRD_20080600002
처갓집양념치킨,(주)한국일오삼,2023,26850,285309,1221,12.37,131,6,145,41년 2개월,https://jshj.net/brands/%EC%B2%98%EA%B0%93%EC%A7%91%EC%96%91%EB%85%90%EC%B9%98%ED%82%A8-BRD_20080200106
굽네치킨,(주)지앤푸드,2023,92455,455454,1124,2.05,52,21,2,19년 2개월,https://jshj.net/brands/%EA%B5%BD%EB%84%A4%EC%B9%98%ED%82%A8-BRD_20080200030
페리카나,(주)페리카나,2023,35450,134296,1056,4.83,22,0,51,43년 2개월,https://jshj.net/brands/%ED%8E%98%EB%A6%AC%EC%B9%B4%EB%82%98-BRD_20080500035
네네치킨,(주)혜인식품,2023,61110,219128,1011,6.82,20,0,69,14년 1개월,https://jshj.net/brands/%EB%84%A4%EB%84%A4%EC%B9%98%ED%82%A8-BRD_20080100061
가마치통닭,(주)티지와이,2023,50000,232945,620,6.94,75,0,43,7년 11개월,https://jshj.net/brands/%EA%B0%80%EB%A7%88%EC%B9%98%ED%86%B5%EB%8B%AD-BRD_20160798
노랑통닭,(주)노랑푸드,2023,61900,0,632,5.54,105,1,34,14년 11개월,https://jshj.net/brands/%EB%85%B8%EB%9E%91%ED%86%B5%EB%8B%AD-BRD_20130176
지코바양념치킨,(주)지코바,2023,57000,258263,733,2.05,26,15,0,34년 4개월,https://jshj.net/brands/%EC%A7%80%EC%BD%94%EB%B0%94%EC%96%91%EB%85%90%EC%B9%98%ED%82%A8-BRD_20080300013
멕시카나,(주)멕시카나,2024,31850,198228,867,10.84,88,0,94,35년 4개월,https://jshj.net/brands/%EB%A9%95%EC%8B%9C%EC%B9%B4%EB%82%98-BRD_20080100262
호식이두마리치킨,호식이두마리치킨,2023,22700,0,0,,0,0,0,29년 4개월,https://jshj.net/brands/%ED%98%B8%EC%8B%9D%EC%9D%B4%EB%91%90%EB%A7%88%EB%A6%AC%EC%B9%98%ED%82%A8-BRD_20080600014
푸라닭,(주)아이더스에프앤비,2024,75780,415622,714,4.06,15,4,25,10년 1개월,https://jshj.net/brands/%ED%91%B8%EB%9D%BC%EB%8B%AD-BRD_20150218
자담치킨,(주)웰빙푸드,2023,42900,297885,716,10.2,70,35,38,10년 2개월,https://jshj.net/brands/%EC%9E%90%EB%8B%B4%EC%B9%98%ED%82%A8-BRD_20140475
60계,(주)장스푸드,2023,72550,374240,663,2.87,52,0,19,8년 6개월,https://jshj.net/brands/60%EA%B3%84-BRD_20151039
또래오래,(주)농협목우촌,2023,32676,138076,563,14.03,39,0,79,21년 0개월,https://jshj.net/brands/%EB%98%90%EB%9E%98%EC%98%A4%EB%9E%98-BRD_20080100180
또봉이통닭,또봉이에프앤에스(주),2023,28060,147034,456,13.38,44,0,61,12년 2개월,https://jshj.net/brands/%EB%98%90%EB%B4%89%EC%9D%B4%ED%86%B5%EB%8B%AD-BRD_20120100160
맥시칸치킨,(주)맥시칸,2023,29300,108836,447,4.25,144,19,0,38년 9개월,https://jshj.net/brands/%EB%A7%A5%EC%8B%9C%EC%B9%B8%EC%B9%98%ED%82%A8-BRD_20080200276
훌랄라참숯치킨,(주)훌랄라,,,,,,,,,,https://jshj.net/brands/%ED%9B%8C%EB%9E%84%EB%9D%BC%EC%B0%B8%EC%88%AF%EC%B9%98%ED%82%A8-BRD_20080100261
후라이드 참 잘하는집,(주)티엔엔터테인먼트,2023,48500,224459,271,2.21,31,6,0,7년 2개월,https://jshj.net/brands/%ED%9B%84%EB%9D%BC%EC%9D%B4%EB%93%9C%20%EC%B0%B8%20%EC%9E%98%ED%95%98%EB%8A%94%EC%A7%91-BRD_20170439
치킨플러스,(주)홀딩핸즈앤코,2025,,202453,279,16.49,37,45,1,,https://jshj.net/brands/%EC%B9%98%ED%82%A8%ED%94%8C%EB%9F%AC%EC%8A%A4-BRD_20170127
부어치킨,(주)정직한스푼,2025,,151491,260,7.69,51,10,10,,https://jshj.net/brands/%EB%B6%80%EC%96%B4%EC%B9%98%ED%82%A8-BRD_20080100487
누구나홀딱반한닭,(주)티앤비코리아,2023,77836,421435,227,9.25,18,12,9,12년 11개월,https://jshj.net/brands/%EB%88%84%EA%B5%AC%EB%82%98%ED%99%80%EB%94%B1%EB%B0%98%ED%95%9C%EB%8B%AD-BRD_20110100603
꾸브라꼬숯불치킨,(주)외식전문기업제이케이,2024,33880,333164,208,13.46,37,28,0,8년 7개월,https://jshj.net/brands/%EA%BE%B8%EB%B8%8C%EB%9D%BC%EA%BC%AC%EC%88%AF%EB%B6%88%EC%B9%98%ED%82%A8-BRD_20171298
